,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Neyshabur,0,IR,1551654101,69,36.21,58.79,32.3,1.83
1,Talnakh,32,RU,1551653786,64,69.49,88.39,-8.74,4.41
2,Amazar,80,RU,1551654101,79,53.86,120.88,17.77,2.73
3,Kodiak,1,US,1551653771,16,39.95,-94.76,10.0,12.75
4,Port Lincoln,0,AU,1551654102,87,-34.72,135.86,69.07,9.55
5,Karratha,88,AU,1551653737,42,-20.74,116.85,85.36,2.84
6,Atuona,0,PF,1551653783,100,-9.8,-139.03,81.49,12.12
7,Lhokseumawe,20,ID,1551654103,100,5.18,97.15,82.3,4.41
8,Hermanus,0,ZA,1551653143,95,-34.42,19.24,64.0,2.95
9,Hilo,90,US,1551653716,68,19.71,-155.08,75.0,10.29
10,Nakhon Ratchasima,0,TH,1551650400,78,14.97,102.09,78.8,8.05
11,Bluff,0,AU,1551653713,58,-23.58,149.07,78.65,13.8
12,Vaini,0,IN,1551653743,85,15.34,74.49,58.09,1.16
13,Albany,90,US,1551653489,44,42.65,-73.75,37.4,5.82
14,Cabo San Lucas,5,MX,1551653443,36,22.89,-109.91,86.0,4.7
15,Djenne,0,ML,1551654114,41,13.91,-4.55,63.13,7.65
16,Trowbridge,90,GB,1551653889,80,51.32,-2.2,48.99,18.34
17,Bereda,40,ES,1551653642,71,43.27,-7.54,57.0,16.11
18,Port Elizabeth,90,US,1551653756,100,39.31,-74.98,39.0,6.93
19,San Andres,56,PH,1551654115,100,13.32,122.68,78.7,6.87
20,Airai,8,TL,1551653743,82,-8.93,125.41,75.82,1.61
21,Karachi,0,PK,1551651900,67,24.87,67.03,60.8,5.82
22,Balkanabat,92,TM,1551654115,89,39.51,54.36,36.76,2.73
23,Lompoc,75,US,1551653738,82,34.64,-120.46,62.6,6.93
24,Sao Filipe,0,CV,1551653758,91,14.9,-24.5,71.77,16.82
25,Tuktoyaktuk,90,CA,1551650400,85,69.44,-133.03,15.8,18.34
26,Gusinoye Ozero,12,RU,1551654125,66,51.11,106.26,12.64,3.18
27,Busselton,0,AU,1551653711,43,-33.64,115.35,66.0,18.39
28,Bowen,40,AU,1551653798,78,-20.01,148.25,78.01,12.75
